"period","iso_alpha_3_code","parameter","0.1","0.5","0.9","estimate_version"
"2000, 2020","BLR","percent_change_in_mmr",92.6161353324849,95.4562023624661,97.3224525571195,"estimates_12-19-22"
"2010, 2020","BLR","arr",4.51563093947219,9.04279334397905,13.5505799269722,"estimates_12-19-22"
"2010, 2020","BLR","percent_change_in_mmr",36.3367742047912,59.5166464593354,74.2067663146778,"estimates_12-19-22"
"2000, 2005","BLR","arr",11.935370341359,16.337853834496,20.8905719797191,"estimates_12-19-22"
"2000, 2005","BLR","percent_change_in_mmr",44.941200885869,55.819765918799,64.8142342054664,"estimates_12-19-22"
"2005, 2010","BLR","arr",22.7395013284804,27.3205172105859,32.5696918502034,"estimates_12-19-22"
"2005, 2010","BLR","percent_change_in_mmr",67.9212081576295,74.4881169805394,80.3773287637475,"estimates_12-19-22"
"2010, 2015","BLR","arr",9.7504145383695,14.4456351397255,19.1670233952686,"estimates_12-19-22"
"2010, 2015","BLR","percent_change_in_mmr",38.585285322758,51.4357128231738,61.6475267867679,"estimates_12-19-22"
"2015, 2020","BLR","arr",-3.09105164983905,3.59831734520957,10.1263357580429,"estimates_12-19-22"
"2015, 2020","BLR","percent_change_in_mmr",-16.7135654162531,16.4659485313212,39.728858105387,"estimates_12-19-22"
"2016, 2020","BLR","arr",-4.3091625785089,2.98870060174223,10.4768953319707,"estimates_12-19-22"
"2016, 2020","BLR","percent_change_in_mmr",-18.811320102121,11.2678605398562,34.2345665544257,"estimates_12-19-22"
"2000, 2015","BEL","arr",1.77447478671999,2.97613004793474,4.69975487477319,"estimates_12-19-22"
"2000, 2015","BEL","percent_change_in_mmr",23.3692087397233,36.0084733003333,50.5873257513995,"estimates_12-19-22"
"2000, 2020","BEL","arr",1.58889499859005,2.65575209583198,4.44114701800721,"estimates_12-19-22"
"2000, 2020","BEL","percent_change_in_mmr",27.2236386021835,41.2071783410622,58.8616461925617,"estimates_12-19-22"
"2010, 2020","BEL","arr",0.45567289317399,1.97430402713911,4.88768420157233,"estimates_12-19-22"
"2010, 2020","BEL","percent_change_in_mmr",4.4544627759056,17.9162733166736,38.661860789024,"estimates_12-19-22"
"2000, 2005","BEL","arr",1.96692493928178,4.05311560826128,6.30159031014526,"estimates_12-19-22"
